LineId,Date,Time,Level,Component,Content,EventId,EventTemplate,ParameterList,Message
163,17/06/09,20:11:09,INFO,executor.Executor,"['Running', ' ', 'task', ' ', '27.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1267)']",ae0572db,Running task <*> in stage <*> (TID <*>,"['27.0', '27.0', '1267)']",Running task 27.0 in stage 27.0 (TID 1267)
164,17/06/09,20:11:09,INFO,executor.CoarseGrainedExecutorBackend,"['Got', ' ', 'assigned', ' ', 'task', ' ', '<*>']",9ba7fdc2,Got assigned task <*>,['1268'],Got assigned task 1268
165,17/06/09,20:11:09,INFO,executor.Executor,"['Running', ' ', 'task', ' ', '28.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1268)']",ae0572db,Running task <*> in stage <*> (TID <*>,"['28.0', '27.0', '1268)']",Running task 28.0 in stage 27.0 (TID 1268)
166,17/06/09,20:11:09,INFO,executor.CoarseGrainedExecutorBackend,"['Got', ' ', 'assigned', ' ', 'task', ' ', '<*>']",9ba7fdc2,Got assigned task <*>,['1269'],Got assigned task 1269
167,17/06/09,20:11:09,INFO,executor.Executor,"['Running', ' ', 'task', ' ', '29.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1269)']",ae0572db,Running task <*> in stage <*> (TID <*>,"['29.0', '27.0', '1269)']",Running task 29.0 in stage 27.0 (TID 1269)
168,17/06/09,20:11:09,INFO,storage.BlockManager,"['Found', ' ', 'block', ' ', 'rdd_42_27', ' ', 'locally']",d7f24216,Found block <*> locally,['rdd_42_27'],Found block rdd_42_27 locally
169,17/06/09,20:11:09,INFO,storage.BlockManager,"['Found', ' ', 'block', ' ', 'rdd_42_28', ' ', 'locally']",d7f24216,Found block <*> locally,['rdd_42_28'],Found block rdd_42_28 locally
170,17/06/09,20:11:09,INFO,storage.BlockManager,"['Found', ' ', 'block', ' ', 'rdd_42_29', ' ', 'locally']",d7f24216,Found block <*> locally,['rdd_42_29'],Found block rdd_42_29 locally
171,17/06/09,20:11:09,INFO,python.PythonRunner,"['Times', ':', ' ', 'total', ' ', '=', ' ', '<*>', ',', ' ', 'boot', ' ', '=', ' ', '<*>', ',', ' ', 'init', ' ', '=', ' ', '<*>', ',', ' ', 'finish', ' ', '=', ' ', '<*>']",93423942,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","['42', '14', '27', '1']","Times: total = 42, boot = 14, init = 27, finish = 1"
172,17/06/09,20:11:09,INFO,python.PythonRunner,"['Times', ':', ' ', 'total', ' ', '=', ' ', '<*>', ',', ' ', 'boot', ' ', '=', ' ', '<*>', ',', ' ', 'init', ' ', '=', ' ', '<*>', ',', ' ', 'finish', ' ', '=', ' ', '<*>']",93423942,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","['41', '35', '5', '1']","Times: total = 41, boot = 35, init = 5, finish = 1"
173,17/06/09,20:11:09,INFO,python.PythonRunner,"['Times', ':', ' ', 'total', ' ', '=', ' ', '<*>', ',', ' ', 'boot', ' ', '=', ' ', '<*>', ',', ' ', 'init', ' ', '=', ' ', '<*>', ',', ' ', 'finish', ' ', '=', ' ', '<*>']",93423942,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","['41', '34', '6', '1']","Times: total = 41, boot = 34, init = 6, finish = 1"
174,17/06/09,20:11:09,INFO,python.PythonRunner,"['Times', ':', ' ', 'total', ' ', '=', ' ', '<*>', ',', ' ', 'boot', ' ', '=', ' ', '<*>', ',', ' ', 'init', ' ', '=', ' ', '<*>', ',', ' ', 'finish', ' ', '=', ' ', '<*>']",93423942,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","['42', '34', '7', '1']","Times: total = 42, boot = 34, init = 7, finish = 1"
175,17/06/09,20:11:09,INFO,executor.Executor,"['Finished', ' ', 'task', ' ', '27.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1267).', ' ', '<*>', ' ', 'bytes', ' ', 'result', ' ', 'sent', ' ', 'to', ' ', 'driver']",33da0487,Finished task <*> in stage <*> (TID <*> <*> bytes result sent to driver,"['27.0', '27.0', '1267).', '2182']",Finished task 27.0 in stage 27.0 (TID 1267). 2182 bytes result sent to driver
176,17/06/09,20:11:09,INFO,executor.Executor,"['Finished', ' ', 'task', ' ', '28.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1268).', ' ', '<*>', ' ', 'bytes', ' ', 'result', ' ', 'sent', ' ', 'to', ' ', 'driver']",33da0487,Finished task <*> in stage <*> (TID <*> <*> bytes result sent to driver,"['28.0', '27.0', '1268).', '2349']",Finished task 28.0 in stage 27.0 (TID 1268). 2349 bytes result sent to driver
177,17/06/09,20:11:09,INFO,executor.Executor,"['Finished', ' ', 'task', ' ', '26.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1266).', ' ', '<*>', ' ', 'bytes', ' ', 'result', ' ', 'sent', ' ', 'to', ' ', 'driver']",33da0487,Finished task <*> in stage <*> (TID <*> <*> bytes result sent to driver,"['26.0', '27.0', '1266).', '2267']",Finished task 26.0 in stage 27.0 (TID 1266). 2267 bytes result sent to driver
178,17/06/09,20:11:09,INFO,executor.Executor,"['Finished', ' ', 'task', ' ', '25.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1265).', ' ', '<*>', ' ', 'bytes', ' ', 'result', ' ', 'sent', ' ', 'to', ' ', 'driver']",33da0487,Finished task <*> in stage <*> (TID <*> <*> bytes result sent to driver,"['25.0', '27.0', '1265).', '2355']",Finished task 25.0 in stage 27.0 (TID 1265). 2355 bytes result sent to driver
179,17/06/09,20:11:09,INFO,executor.CoarseGrainedExecutorBackend,"['Got', ' ', 'assigned', ' ', 'task', ' ', '<*>']",9ba7fdc2,Got assigned task <*>,['1270'],Got assigned task 1270
180,17/06/09,20:11:09,INFO,executor.Executor,"['Running', ' ', 'task', ' ', '30.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1270)']",ae0572db,Running task <*> in stage <*> (TID <*>,"['30.0', '27.0', '1270)']",Running task 30.0 in stage 27.0 (TID 1270)
181,17/06/09,20:11:09,INFO,executor.CoarseGrainedExecutorBackend,"['Got', ' ', 'assigned', ' ', 'task', ' ', '<*>']",9ba7fdc2,Got assigned task <*>,['1271'],Got assigned task 1271
182,17/06/09,20:11:09,INFO,executor.Executor,"['Running', ' ', 'task', ' ', '31.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1271)']",ae0572db,Running task <*> in stage <*> (TID <*>,"['31.0', '27.0', '1271)']",Running task 31.0 in stage 27.0 (TID 1271)
183,17/06/09,20:11:09,INFO,executor.CoarseGrainedExecutorBackend,"['Got', ' ', 'assigned', ' ', 'task', ' ', '<*>']",9ba7fdc2,Got assigned task <*>,['1272'],Got assigned task 1272
184,17/06/09,20:11:09,INFO,executor.Executor,"['Running', ' ', 'task', ' ', '32.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1272)']",ae0572db,Running task <*> in stage <*> (TID <*>,"['32.0', '27.0', '1272)']",Running task 32.0 in stage 27.0 (TID 1272)
185,17/06/09,20:11:09,INFO,executor.CoarseGrainedExecutorBackend,"['Got', ' ', 'assigned', ' ', 'task', ' ', '<*>']",9ba7fdc2,Got assigned task <*>,['1273'],Got assigned task 1273
186,17/06/09,20:11:09,INFO,executor.Executor,"['Running', ' ', 'task', ' ', '33.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1273)']",ae0572db,Running task <*> in stage <*> (TID <*>,"['33.0', '27.0', '1273)']",Running task 33.0 in stage 27.0 (TID 1273)
187,17/06/09,20:11:09,INFO,storage.BlockManager,"['Found', ' ', 'block', ' ', 'rdd_42_31', ' ', 'locally']",d7f24216,Found block <*> locally,['rdd_42_31'],Found block rdd_42_31 locally
188,17/06/09,20:11:09,INFO,storage.BlockManager,"['Found', ' ', 'block', ' ', 'rdd_42_32', ' ', 'locally']",d7f24216,Found block <*> locally,['rdd_42_32'],Found block rdd_42_32 locally
189,17/06/09,20:11:09,INFO,storage.BlockManager,"['Found', ' ', 'block', ' ', 'rdd_42_33', ' ', 'locally']",d7f24216,Found block <*> locally,['rdd_42_33'],Found block rdd_42_33 locally
190,17/06/09,20:11:09,INFO,storage.BlockManager,"['Found', ' ', 'block', ' ', 'rdd_42_30', ' ', 'locally']",d7f24216,Found block <*> locally,['rdd_42_30'],Found block rdd_42_30 locally
191,17/06/09,20:11:09,INFO,python.PythonRunner,"['Times', ':', ' ', 'total', ' ', '=', ' ', '<*>', ',', ' ', 'boot', ' ', '=', ' ', '<*>', ',', ' ', 'init', ' ', '=', ' ', '<*>', ',', ' ', 'finish', ' ', '=', ' ', '<*>']",93423942,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","['108', '28', '79', '1']","Times: total = 108, boot = 28, init = 79, finish = 1"
192,17/06/09,20:11:09,INFO,executor.Executor,"['Finished', ' ', 'task', ' ', '29.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1269).', ' ', '<*>', ' ', 'bytes', ' ', 'result', ' ', 'sent', ' ', 'to', ' ', 'driver']",33da0487,Finished task <*> in stage <*> (TID <*> <*> bytes result sent to driver,"['29.0', '27.0', '1269).', '2349']",Finished task 29.0 in stage 27.0 (TID 1269). 2349 bytes result sent to driver
193,17/06/09,20:11:09,INFO,executor.CoarseGrainedExecutorBackend,"['Got', ' ', 'assigned', ' ', 'task', ' ', '<*>']",9ba7fdc2,Got assigned task <*>,['1274'],Got assigned task 1274
194,17/06/09,20:11:09,INFO,executor.Executor,"['Running', ' ', 'task', ' ', '34.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1274)']",ae0572db,Running task <*> in stage <*> (TID <*>,"['34.0', '27.0', '1274)']",Running task 34.0 in stage 27.0 (TID 1274)
195,17/06/09,20:11:09,INFO,storage.BlockManager,"['Found', ' ', 'block', ' ', 'rdd_42_34', ' ', 'locally']",d7f24216,Found block <*> locally,['rdd_42_34'],Found block rdd_42_34 locally
196,17/06/09,20:11:09,INFO,python.PythonRunner,"['Times', ':', ' ', 'total', ' ', '=', ' ', '<*>', ',', ' ', 'boot', ' ', '=', ' ', '-27', ',', ' ', 'init', ' ', '=', ' ', '<*>', ',', ' ', 'finish', ' ', '=', ' ', '<*>']",93423942,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","['40', '-27', '66', '1']","Times: total = 40, boot = -27, init = 66, finish = 1"
197,17/06/09,20:11:09,INFO,executor.Executor,"['Finished', ' ', 'task', ' ', '31.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1271).', ' ', '<*>', ' ', 'bytes', ' ', 'result', ' ', 'sent', ' ', 'to', ' ', 'driver']",33da0487,Finished task <*> in stage <*> (TID <*> <*> bytes result sent to driver,"['31.0', '27.0', '1271).', '2128']",Finished task 31.0 in stage 27.0 (TID 1271). 2128 bytes result sent to driver
198,17/06/09,20:11:09,INFO,python.PythonRunner,"['Times', ':', ' ', 'total', ' ', '=', ' ', '<*>', ',', ' ', 'boot', ' ', '=', ' ', '-28', ',', ' ', 'init', ' ', '=', ' ', '<*>', ',', ' ', 'finish', ' ', '=', ' ', '<*>']",93423942,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","['42', '-28', '69', '1']","Times: total = 42, boot = -28, init = 69, finish = 1"
199,17/06/09,20:11:09,INFO,python.PythonRunner,"['Times', ':', ' ', 'total', ' ', '=', ' ', '<*>', ',', ' ', 'boot', ' ', '=', ' ', '-24', ',', ' ', 'init', ' ', '=', ' ', '<*>', ',', ' ', 'finish', ' ', '=', ' ', '<*>']",93423942,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","['41', '-24', '64', '1']","Times: total = 41, boot = -24, init = 64, finish = 1"
200,17/06/09,20:11:09,INFO,python.PythonRunner,"['Times', ':', ' ', 'total', ' ', '=', ' ', '<*>', ',', ' ', 'boot', ' ', '=', ' ', '-15', ',', ' ', 'init', ' ', '=', ' ', '<*>', ',', ' ', 'finish', ' ', '=', ' ', '<*>']",93423942,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","['41', '-15', '55', '1']","Times: total = 41, boot = -15, init = 55, finish = 1"
201,17/06/09,20:11:09,INFO,executor.Executor,"['Finished', ' ', 'task', ' ', '32.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1272).', ' ', '<*>', ' ', 'bytes', ' ', 'result', ' ', 'sent', ' ', 'to', ' ', 'driver']",33da0487,Finished task <*> in stage <*> (TID <*> <*> bytes result sent to driver,"['32.0', '27.0', '1272).', '2801']",Finished task 32.0 in stage 27.0 (TID 1272). 2801 bytes result sent to driver
202,17/06/09,20:11:09,INFO,executor.Executor,"['Finished', ' ', 'task', ' ', '33.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1273).', ' ', '<*>', ' ', 'bytes', ' ', 'result', ' ', 'sent', ' ', 'to', ' ', 'driver']",33da0487,Finished task <*> in stage <*> (TID <*> <*> bytes result sent to driver,"['33.0', '27.0', '1273).', '2592']",Finished task 33.0 in stage 27.0 (TID 1273). 2592 bytes result sent to driver
203,17/06/09,20:11:09,INFO,executor.CoarseGrainedExecutorBackend,"['Got', ' ', 'assigned', ' ', 'task', ' ', '<*>']",9ba7fdc2,Got assigned task <*>,['1275'],Got assigned task 1275
204,17/06/09,20:11:09,INFO,executor.Executor,"['Running', ' ', 'task', ' ', '35.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1275)']",ae0572db,Running task <*> in stage <*> (TID <*>,"['35.0', '27.0', '1275)']",Running task 35.0 in stage 27.0 (TID 1275)
205,17/06/09,20:11:09,INFO,executor.Executor,"['Finished', ' ', 'task', ' ', '30.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1270).', ' ', '<*>', ' ', 'bytes', ' ', 'result', ' ', 'sent', ' ', 'to', ' ', 'driver']",33da0487,Finished task <*> in stage <*> (TID <*> <*> bytes result sent to driver,"['30.0', '27.0', '1270).', '2859']",Finished task 30.0 in stage 27.0 (TID 1270). 2859 bytes result sent to driver
206,17/06/09,20:11:09,INFO,executor.CoarseGrainedExecutorBackend,"['Got', ' ', 'assigned', ' ', 'task', ' ', '<*>']",9ba7fdc2,Got assigned task <*>,['1276'],Got assigned task 1276
207,17/06/09,20:11:09,INFO,executor.Executor,"['Running', ' ', 'task', ' ', '36.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1276)']",ae0572db,Running task <*> in stage <*> (TID <*>,"['36.0', '27.0', '1276)']",Running task 36.0 in stage 27.0 (TID 1276)
208,17/06/09,20:11:09,INFO,executor.CoarseGrainedExecutorBackend,"['Got', ' ', 'assigned', ' ', 'task', ' ', '<*>']",9ba7fdc2,Got assigned task <*>,['1277'],Got assigned task 1277
209,17/06/09,20:11:09,INFO,executor.Executor,"['Running', ' ', 'task', ' ', '37.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1277)']",ae0572db,Running task <*> in stage <*> (TID <*>,"['37.0', '27.0', '1277)']",Running task 37.0 in stage 27.0 (TID 1277)
210,17/06/09,20:11:09,INFO,executor.CoarseGrainedExecutorBackend,"['Got', ' ', 'assigned', ' ', 'task', ' ', '<*>']",9ba7fdc2,Got assigned task <*>,['1278'],Got assigned task 1278
211,17/06/09,20:11:09,INFO,executor.Executor,"['Running', ' ', 'task', ' ', '38.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1278)']",ae0572db,Running task <*> in stage <*> (TID <*>,"['38.0', '27.0', '1278)']",Running task 38.0 in stage 27.0 (TID 1278)
212,17/06/09,20:11:09,INFO,storage.BlockManager,"['Found', ' ', 'block', ' ', 'rdd_42_35', ' ', 'locally']",d7f24216,Found block <*> locally,['rdd_42_35'],Found block rdd_42_35 locally
213,17/06/09,20:11:09,INFO,storage.BlockManager,"['Found', ' ', 'block', ' ', 'rdd_42_37', ' ', 'locally']",d7f24216,Found block <*> locally,['rdd_42_37'],Found block rdd_42_37 locally
214,17/06/09,20:11:09,INFO,storage.BlockManager,"['Found', ' ', 'block', ' ', 'rdd_42_38', ' ', 'locally']",d7f24216,Found block <*> locally,['rdd_42_38'],Found block rdd_42_38 locally
215,17/06/09,20:11:09,INFO,storage.BlockManager,"['Found', ' ', 'block', ' ', 'rdd_42_36', ' ', 'locally']",d7f24216,Found block <*> locally,['rdd_42_36'],Found block rdd_42_36 locally
216,17/06/09,20:11:09,INFO,python.PythonRunner,"['Times', ':', ' ', 'total', ' ', '=', ' ', '<*>', ',', ' ', 'boot', ' ', '=', ' ', '<*>', ',', ' ', 'init', ' ', '=', ' ', '<*>', ',', ' ', 'finish', ' ', '=', ' ', '<*>']",93423942,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","['41', '11', '29', '1']","Times: total = 41, boot = 11, init = 29, finish = 1"
217,17/06/09,20:11:09,INFO,executor.Executor,"['Finished', ' ', 'task', ' ', '34.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1274).', ' ', '<*>', ' ', 'bytes', ' ', 'result', ' ', 'sent', ' ', 'to', ' ', 'driver']",33da0487,Finished task <*> in stage <*> (TID <*> <*> bytes result sent to driver,"['34.0', '27.0', '1274).', '2128']",Finished task 34.0 in stage 27.0 (TID 1274). 2128 bytes result sent to driver
218,17/06/09,20:11:09,INFO,executor.CoarseGrainedExecutorBackend,"['Got', ' ', 'assigned', ' ', 'task', ' ', '<*>']",9ba7fdc2,Got assigned task <*>,['1279'],Got assigned task 1279
219,17/06/09,20:11:09,INFO,executor.Executor,"['Running', ' ', 'task', ' ', '39.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1279)']",ae0572db,Running task <*> in stage <*> (TID <*>,"['39.0', '27.0', '1279)']",Running task 39.0 in stage 27.0 (TID 1279)
220,17/06/09,20:11:09,INFO,storage.BlockManager,"['Found', ' ', 'block', ' ', 'rdd_42_39', ' ', 'locally']",d7f24216,Found block <*> locally,['rdd_42_39'],Found block rdd_42_39 locally
221,17/06/09,20:11:09,INFO,python.PythonRunner,"['Times', ':', ' ', 'total', ' ', '=', ' ', '<*>', ',', ' ', 'boot', ' ', '=', ' ', '<*>', ',', ' ', 'init', ' ', '=', ' ', '<*>', ',', ' ', 'finish', ' ', '=', ' ', '<*>']",93423942,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","['41', '31', '9', '1']","Times: total = 41, boot = 31, init = 9, finish = 1"
222,17/06/09,20:11:09,INFO,python.PythonRunner,"['Times', ':', ' ', 'total', ' ', '=', ' ', '<*>', ',', ' ', 'boot', ' ', '=', ' ', '<*>', ',', ' ', 'init', ' ', '=', ' ', '<*>', ',', ' ', 'finish', ' ', '=', ' ', '<*>']",93423942,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","['39', '27', '11', '1']","Times: total = 39, boot = 27, init = 11, finish = 1"
223,17/06/09,20:11:09,INFO,executor.Executor,"['Finished', ' ', 'task', ' ', '35.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1275).', ' ', '<*>', ' ', 'bytes', ' ', 'result', ' ', 'sent', ' ', 'to', ' ', 'driver']",33da0487,Finished task <*> in stage <*> (TID <*> <*> bytes result sent to driver,"['35.0', '27.0', '1275).', '2430']",Finished task 35.0 in stage 27.0 (TID 1275). 2430 bytes result sent to driver
224,17/06/09,20:11:09,INFO,python.PythonRunner,"['Times', ':', ' ', 'total', ' ', '=', ' ', '<*>', ',', ' ', 'boot', ' ', '=', ' ', '<*>', ',', ' ', 'init', ' ', '=', ' ', '<*>', ',', ' ', 'finish', ' ', '=', ' ', '<*>']",93423942,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","['40', '20', '19', '1']","Times: total = 40, boot = 20, init = 19, finish = 1"
225,17/06/09,20:11:09,INFO,executor.Executor,"['Finished', ' ', 'task', ' ', '38.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1278).', ' ', '<*>', ' ', 'bytes', ' ', 'result', ' ', 'sent', ' ', 'to', ' ', 'driver']",33da0487,Finished task <*> in stage <*> (TID <*> <*> bytes result sent to driver,"['38.0', '27.0', '1278).', '2882']",Finished task 38.0 in stage 27.0 (TID 1278). 2882 bytes result sent to driver
226,17/06/09,20:11:09,INFO,python.PythonRunner,"['Times', ':', ' ', 'total', ' ', '=', ' ', '<*>', ',', ' ', 'boot', ' ', '=', ' ', '<*>', ',', ' ', 'init', ' ', '=', ' ', '<*>', ',', ' ', 'finish', ' ', '=', ' ', '<*>']",93423942,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","['42', '27', '14', '1']","Times: total = 42, boot = 27, init = 14, finish = 1"
227,17/06/09,20:11:09,INFO,executor.Executor,"['Finished', ' ', 'task', ' ', '37.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1277).', ' ', '<*>', ' ', 'bytes', ' ', 'result', ' ', 'sent', ' ', 'to', ' ', 'driver']",33da0487,Finished task <*> in stage <*> (TID <*> <*> bytes result sent to driver,"['37.0', '27.0', '1277).', '2349']",Finished task 37.0 in stage 27.0 (TID 1277). 2349 bytes result sent to driver
228,17/06/09,20:11:09,INFO,executor.Executor,"['Finished', ' ', 'task', ' ', '36.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1276).', ' ', '<*>', ' ', 'bytes', ' ', 'result', ' ', 'sent', ' ', 'to', ' ', 'driver']",33da0487,Finished task <*> in stage <*> (TID <*> <*> bytes result sent to driver,"['36.0', '27.0', '1276).', '2673']",Finished task 36.0 in stage 27.0 (TID 1276). 2673 bytes result sent to driver
229,17/06/09,20:11:09,INFO,python.PythonRunner,"['Times', ':', ' ', 'total', ' ', '=', ' ', '<*>', ',', ' ', 'boot', ' ', '=', ' ', '<*>', ',', ' ', 'init', ' ', '=', ' ', '<*>', ',', ' ', 'finish', ' ', '=', ' ', '<*>']",93423942,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>","['39', '17', '21', '1']","Times: total = 39, boot = 17, init = 21, finish = 1"
230,17/06/09,20:11:09,INFO,executor.Executor,"['Finished', ' ', 'task', ' ', '39.0', ' ', 'in', ' ', 'stage', ' ', '27.0', ' ', '(TID', ' ', '1279).', ' ', '<*>', ' ', 'bytes', ' ', 'result', ' ', 'sent', ' ', 'to', ' ', 'driver']",33da0487,Finished task <*> in stage <*> (TID <*> <*> bytes result sent to driver,"['39.0', '27.0', '1279).', '2267']",Finished task 39.0 in stage 27.0 (TID 1279). 2267 bytes result sent to driver
231,17/06/09,20:11:09,INFO,executor.CoarseGrainedExecutorBackend,"['Got', ' ', 'assigned', ' ', 'task', ' ', '<*>']",9ba7fdc2,Got assigned task <*>,['1280'],Got assigned task 1280
232,17/06/09,20:11:09,INFO,executor.Executor,"['Running', ' ', 'task', ' ', '0.0', ' ', 'in', ' ', 'stage', ' ', '28.0', ' ', '(TID', ' ', '1280)']",ae0572db,Running task <*> in stage <*> (TID <*>,"['0.0', '28.0', '1280)']",Running task 0.0 in stage 28.0 (TID 1280)
233,17/06/09,20:11:09,INFO,executor.CoarseGrainedExecutorBackend,"['Got', ' ', 'assigned', ' ', 'task', ' ', '<*>']",9ba7fdc2,Got assigned task <*>,['1281'],Got assigned task 1281
234,17/06/09,20:11:09,INFO,executor.Executor,"['Running', ' ', 'task', ' ', '1.0', ' ', 'in', ' ', 'stage', ' ', '28.0', ' ', '(TID', ' ', '1281)']",ae0572db,Running task <*> in stage <*> (TID <*>,"['1.0', '28.0', '1281)']",Running task 1.0 in stage 28.0 (TID 1281)
235,17/06/09,20:11:09,INFO,executor.CoarseGrainedExecutorBackend,"['Got', ' ', 'assigned', ' ', 'task', ' ', '<*>']",9ba7fdc2,Got assigned task <*>,['1282'],Got assigned task 1282
236,17/06/09,20:11:09,INFO,executor.Executor,"['Running', ' ', 'task', ' ', '2.0', ' ', 'in', ' ', 'stage', ' ', '28.0', ' ', '(TID', ' ', '1282)']",ae0572db,Running task <*> in stage <*> (TID <*>,"['2.0', '28.0', '1282)']",Running task 2.0 in stage 28.0 (TID 1282)
237,17/06/09,20:11:09,INFO,executor.CoarseGrainedExecutorBackend,"['Got', ' ', 'assigned', ' ', 'task', ' ', '<*>']",9ba7fdc2,Got assigned task <*>,['1283'],Got assigned task 1283
238,17/06/09,20:11:09,INFO,executor.Executor,"['Running', ' ', 'task', ' ', '3.0', ' ', 'in', ' ', 'stage', ' ', '28.0', ' ', '(TID', ' ', '1283)']",ae0572db,Running task <*> in stage <*> (TID <*>,"['3.0', '28.0', '1283)']",Running task 3.0 in stage 28.0 (TID 1283)
239,17/06/09,20:11:09,INFO,executor.CoarseGrainedExecutorBackend,"['Got', ' ', 'assigned', ' ', 'task', ' ', '<*>']",9ba7fdc2,Got assigned task <*>,['1284'],Got assigned task 1284
240,17/06/09,20:11:09,INFO,executor.Executor,"['Running', ' ', 'task', ' ', '4.0', ' ', 'in', ' ', 'stage', ' ', '28.0', ' ', '(TID', ' ', '1284)']",ae0572db,Running task <*> in stage <*> (TID <*>,"['4.0', '28.0', '1284)']",Running task 4.0 in stage 28.0 (TID 1284)
241,17/06/09,20:11:09,INFO,broadcast.TorrentBroadcast,"['Started', ' ', 'reading', ' ', 'broadcast', ' ', 'variable', ' ', '<*>']",6c90e140,Started reading broadcast variable <*>,['39'],Started reading broadcast variable 39
242,17/06/09,20:11:09,INFO,storage.MemoryStore,"['Block', ' ', 'broadcast_39_piece0', ' ', 'stored', ' ', 'as', ' ', 'bytes', ' ', 'in', ' ', 'memory', ' ', '(estimated', ' ', 'size', ' ', '5.4', ' ', ' ', '<*>', ' ', ',', ' ', 'free', ' ', '859.1', ' ', ' ', '<*>', ' ', ')']",e8353a43,"Block <*> stored as bytes in memory (estimated size <*> <*> , free <*> <*> )",[],"Block broadcast_39_piece0 stored as bytes in memory (estimated size 5.4 KB, free 859.1 KB)"
243,17/06/09,20:11:10,INFO,broadcast.TorrentBroadcast,"['Reading', ' ', 'broadcast', ' ', 'variable', ' ', '<*>', ' ', 'took', ' ', '<*>', ' ', 'ms']",c0edc03b,Reading broadcast variable <*> took <*> ms,"['39', '716']",Reading broadcast variable 39 took 716 ms
244,17/06/09,20:11:10,INFO,storage.MemoryStore,"['Block', ' ', 'broadcast_39', ' ', 'stored', ' ', 'as', ' ', 'values', ' ', 'in', ' ', 'memory', ' ', '(estimated', ' ', 'size', ' ', '9.2', ' ', ' ', '<*>', ' ', ',', ' ', 'free', ' ', '868.3', ' ', ' ', '<*>', ' ', ')']",3528ee28,"Block <*> stored as values in memory (estimated size <*> <*> , free <*> <*> )",[],"Block broadcast_39 stored as values in memory (estimated size 9.2 KB, free 868.3 KB)"
245,17/06/09,20:11:10,INFO,storage.BlockManager,"['Found', ' ', 'block', ' ', 'rdd_42_1', ' ', 'locally']",d7f24216,Found block <*> locally,['rdd_42_1'],Found block rdd_42_1 locally
246,17/06/09,20:11:10,INFO,storage.BlockManager,"['Found', ' ', 'block', ' ', 'rdd_42_4', ' ', 'locally']",d7f24216,Found block <*> locally,['rdd_42_4'],Found block rdd_42_4 locally
247,17/06/09,20:11:10,INFO,storage.BlockManager,"['Found', ' ', 'block', ' ', 'rdd_42_3', ' ', 'locally']",d7f24216,Found block <*> locally,['rdd_42_3'],Found block rdd_42_3 locally
